epoch,train_loss,val_loss,seconds
1,3.64430992603302,4.304391410615709,12.2
2,3.344853777885437,4.340541111098395,11.9
3,3.1960178899765013,4.320221225420634,11.8
4,3.1159505701065062,4.326968431472778,11.9
5,3.0735513162612915,4.3997705645031395,11.8
6,3.016942472457886,4.489883833461338,11.7
7,2.976061391830444,4.579778843455845,11.7
8,2.941028690338135,4.624436140060425,12.0
9,2.912237596511841,4.597257004843818,11.5
10,2.8725505018234254,4.58760945002238,11.6
11,2.8515199708938597,4.554872274398804,11.3
12,2.831331901550293,4.566301597489251,11.8
13,2.7995057773590086,4.526809665891859,11.6
14,2.7854197311401365,4.525371193885803,11.6
15,2.768905830383301,4.521463261710273,11.8
16,2.7374363231658934,4.529327525032891,11.8
17,2.724801344871521,4.501398775312635,12.1
18,2.7143455648422243,4.576809061898126,12.6
19,2.6875638580322265,4.524311913384332,12.4
20,2.6672037553787233,4.61865692668491,12.6
21,2.650988221168518,4.671667774518331,12.4
22,2.6321742057800295,4.654078576299879,12.6
23,2.6172024726867678,4.688669694794549,12.5
24,2.6090836668014528,4.644501752323574,12.7
25,2.5952526569366454,4.5800598992241754,12.5
26,2.594688901901245,4.541512621773614,12.2
27,2.571990418434143,4.642755534913805,12.4
28,2.5584781408309936,4.592612690395779,12.4
29,2.568819074630737,4.568614482879639,12.5
30,2.580926675796509,4.700463030073378,12.6
31,2.5652515840530397,4.683112051751879,12.6
32,2.5524759769439695,4.556211908658345,12.6
33,2.533742027282715,4.51101799805959,12.6
34,2.5384242868423463,4.596519298023647,12.3
35,2.5422940492630004,4.545134610599941,12.6
36,2.542799162864685,4.563764413197835,12.5
37,2.5377488231658933,4.613514847225613,12.5
38,2.531147117614746,4.637003461519877,12.4
39,2.5347732591629026,4.482796377605862,12.6
40,2.5252597188949584,4.608038716846043,12.6
